municipality,rate,rate_percent
"Ale",0.328,32.8
"Alingsås",0.3284,32.84
"Alvesta",0.3342,33.42
"Aneby",0.3385,33.85
"Arboga",0.3329,33.29
"Arjeplog",0.3484,34.84
"Arvidsjaur",0.3414,34.14
"Arvika",0.3403,34.03
"Askersund",0.3415,34.15
"Avesta",0.3395,33.95
"Bengtsfors",0.344,34.4
"Berg",0.3422,34.22
"Bjurholm",0.35,35
"Bjuv",0.3217,32.17
"Boden",0.3394,33.94
"Bollebygd",0.3307,33.07
"Bollnäs",0.3337,33.37
"Borgholm",0.3344,33.44
"Borlänge",0.344,34.4
"Borås",0.3279,32.79
"Botkyrka",0.3223,32.23
"Boxholm",0.3337,33.37
"Bromölla",0.3374,33.74
"Bräcke",0.3509,35.09
"Burlöv",0.3127,31.27
"Båstad",0.3141,31.41
"Dals-Ed",0.3469,34.69
"Danderyd",0.3058,30.58
"Degerfors",0.353,35.3
"Dorotea",0.3565,35.65
"Eda",0.3455,34.55
"Ekerö",0.3145,31.45
"Eksjö",0.3402,34.02
"Emmaboda",0.3382,33.82
"Enköping",0.3305,33.05
"Eskilstuna",0.3285,32.85
"Eslöv",0.3172,31.72
"Essunga",0.3305,33.05
"Fagersta",0.3299,32.99
"Falkenberg",0.325,32.5
"Falköping",0.3343,33.43
"Falun",0.3405,34.05
"Filipstad",0.3455,34.55
"Finspång",0.337,33.7
"Flen",0.331,33.1
"Forshaga",0.3463,34.63
"Färgelanda",0.3439,34.39
"Gagnef",0.3427,34.27
"Gislaved",0.3375,33.75
"Gnesta",0.3295,32.95
"Gnosjö",0.34,34
"Gotland",0.336,33.6
"Grums",0.3478,34.78
"Grästorp",0.3347,33.47
"Gullspång",0.3397,33.97
"Gällivare",0.3389,33.89
"Gävle",0.3377,33.77
"Göteborg",0.326,32.6
"Götene",0.336,33.6
"Habo",0.3393,33.93
"Hagfors",0.343,34.3
"Hallsberg",0.3385,33.85
"Hallstahammar",0.3269,32.69
"Halmstad",0.3238,32.38
"Hammarö",0.3505,35.05
"Haninge",0.3128,31.28
"Haparanda",0.3384,33.84
"Heby",0.3421,34.21
"Hedemora",0.3415,34.15
"Helsingborg",0.3139,31.39
"Herrljunga",0.3362,33.62
"Hjo",0.3348,33.48
"Hofors",0.3437,34.37
"Huddinge",0.3171,31.71
"Hudiksvall",0.3312,33.12
"Hultsfred",0.3377,33.77
"Hylte",0.3385,33.85
"Håbo",0.333,33.3
"Hällefors",0.3435,34.35
"Härjedalen",0.3417,34.17
"Härnösand",0.3463,34.63
"Härryda",0.3198,31.98
"Hässleholm",0.3238,32.38
"Höganäs",0.3091,30.91
"Högsby",0.3407,34.07
"Hörby",0.3226,32.26
"Höör",0.3263,32.63
"Jokkmokk",0.3429,34.29
"Järfälla",0.3152,31.52
"Jönköping",0.334,33.4
"Kalix",0.3389,33.89
"Kalmar",0.3367,33.67
"Karlsborg",0.328,32.8
"Karlshamn",0.338,33.8
"Karlskoga",0.343,34.3
"Karlskrona",0.3369,33.69
"Karlstad",0.3355,33.55
"Katrineholm",0.3295,32.95
"Kil",0.3463,34.63
"Kinda",0.33,33
"Kiruna",0.3439,34.39
"Klippan",0.3193,31.93
"Knivsta",0.3262,32.62
"Kramfors",0.3443,34.43
"Kristianstad",0.3264,32.64
"Kristinehamn",0.3425,34.25
"Krokom",0.3387,33.87
"Kumla",0.3384,33.84
"Kungsbacka",0.3258,32.58
"Kungsör",0.3291,32.91
"Kungälv",0.3292,32.92
"Kävlinge",0.2959,29.59
"Köping",0.3304,33.04
"Laholm",0.328,32.8
"Landskrona",0.3142,31.42
"Laxå",0.35,35
"Lekeberg",0.3373,33.73
"Leksand",0.338,33.8
"Lerum",0.3203,32.03
"Lessebo",0.3381,33.81
"Lidingö",0.2967,29.67
"Lidköping",0.3274,32.74
"Lilla Edet",0.3385,33.85
"Lindesberg",0.346,34.6
"Linköping",0.3175,31.75
"Ljungby",0.3307,33.07
"Ljusdal",0.3387,33.87
"Ljusnarsberg",0.338,33.8
"Lomma",0.3072,30.72
"Ludvika",0.3405,34.05
"Luleå",0.3384,33.84
"Lund",0.3242,32.42
"Lycksele",0.349,34.9
"Lysekil",0.3394,33.94
"Malmö",0.3242,32.42
"Malung-Sälen",0.3445,34.45
"Malå",0.352,35.2
"Mariestad",0.3274,32.74
"Mark",0.3299,32.99
"Markaryd",0.3331,33.31
"Mellerud",0.3408,34.08
"Mjölby",0.3345,33.45
"Mora",0.3432,34.32
"Motala",0.3325,33.25
"Mullsjö",0.341,34.1
"Munkedal",0.3486,34.86
"Munkfors",0.343,34.3
"Mölndal",0.3199,31.99
"Mönsterås",0.3407,34.07
"Mörbylånga",0.3407,34.07
"Nacka",0.3011,30.11
"Nora",0.3455,34.55
"Norberg",0.3354,33.54
"Nordanstig",0.3402,34.02
"Nordmaling",0.351,35.1
"Norrköping",0.333,33.3
"Norrtälje",0.3205,32.05
"Norsjö",0.352,35.2
"Nybro",0.3419,34.19
"Nykvarn",0.323,32.3
"Nyköping",0.3225,32.25
"Nynäshamn",0.3218,32.18
"Nässjö",0.343,34.3
"Ockelbo",0.3427,34.27
"Olofström",0.3375,33.75
"Orsa",0.343,34.3
"Orust",0.3369,33.69
"Osby",0.3399,33.99
"Oskarshamn",0.3421,34.21
"Ovanåker",0.3337,33.37
"Oxelösund",0.3305,33.05
"Pajala",0.3474,34.74
"Partille",0.3136,31.36
"Perstorp",0.3199,31.99
"Piteå",0.3359,33.59
"Ragunda",0.3492,34.92
"Robertsfors",0.35,35
"Ronneby",0.3368,33.68
"Rättvik",0.338,33.8
"Sala",0.3319,33.19
"Salem",0.32,32
"Sandviken",0.3312,33.12
"Sigtuna",0.3183,31.83
"Simrishamn",0.3169,31.69
"Sjöbo",0.321,32.1
"Skara",0.3338,33.38
"Skellefteå",0.3445,34.45
"Skinnskatteberg",0.3334,33.34
"Skurup",0.316,31.6
"Skövde",0.3309,33.09
"Smedjebacken",0.3444,34.44
"Sollefteå",0.3468,34.68
"Sollentuna",0.3045,30.45
"Solna",0.297,29.7
"Sorsele",0.3545,35.45
"Sotenäs",0.3347,33.47
"Staffanstorp",0.3012,30.12
"Stenungsund",0.3312,33.12
"Stockholm",0.3055,30.55
"Storfors",0.3498,34.98
"Storuman",0.3495,34.95
"Strängnäs",0.325,32.5
"Strömstad",0.3339,33.39
"Strömsund",0.3492,34.92
"Sundbyberg",0.3158,31.58
"Sundsvall",0.3388,33.88
"Sunne",0.3375,33.75
"Surahammar",0.3319,33.19
"Svalöv",0.3192,31.92
"Svedala",0.3142,31.42
"Svenljunga",0.3353,33.53
"Säffle",0.338,33.8
"Säter",0.343,34.3
"Sävsjö",0.3368,33.68
"Söderhamn",0.3317,33.17
"Söderköping",0.3353,33.53
"Södertälje",0.3238,32.38
"Sölvesborg",0.3386,33.86
